ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Alignment
ProtoGermanic-117_grabanan-1,,ProtoGermanic,117_grabanan,*grabanan,grabanan,g r a b a n a n,,,37,,,,g r a b a n ( a n )
German-117_grabanan-1,,German,117_grabanan,graben,ɡraːbən,ɡ r aː b ə n,,,37,,,,ɡ r aː b ə n ( - - )
English-117_grabanan-1,,English,117_grabanan,grave,ɡrɑːv,ɡ r ɑː v,,,37,,,,ɡ r ɑː v - - ( - - )
Dutch-117_grabanan-1,,Dutch,117_grabanan,graven,xraːvə,x r aː v ə,,,37,,,,x r aː v ə - ( - - )
ProtoGermanic-264_sako-1,,ProtoGermanic,264_sako,*sakō,sakoː,s a k oː,,,38,,,,s a k oː
German-264_sako-1,,German,264_sako,Sache,zaxə,z a x ə,,,38,,,,z a x ə
English-264_sako-1,,English,264_sako,sake,sɑːkɪ,s ɑː k ɪ,,,38,,,,s eɪ k -
Dutch-264_sako-1,,Dutch,264_sako,zaak,zaːk,z aː k,,,38,,,,z aː k -
ProtoGermanic-423_wiraz-1,,ProtoGermanic,423_wiraz,*wiraz,wiraz,w i r a z,,,39,,,,w i r ( a z )
German-423_wiraz-1,,German,423_wiraz,Wehr,veːr,v eː r,,,39,,,,v eː r ( - - )
Dutch-423_wiraz-1,,Dutch,423_wiraz,weer,ʋeːr,ʋ eː r,,,39,,,,ʋ eː r ( - - )
ProtoGermanic-509_armaz-1,,ProtoGermanic,509_armaz,*θarmaz,θarmaz,θ a r m a z,,,40,,,,θ a r m ( a z )
German-509_armaz-1,,German,509_armaz,Darm,darm,d a r m,,,40,,,,d a r m ( - - )
Dutch-509_armaz-1,,Dutch,509_armaz,darm,dɑrm,d ɑ r m,,,40,,,,d ɑ r m ( - - )
ProtoGermanic-121_grobo-1,,ProtoGermanic,121_grobo,*grōbō,groːboː,g r oː b oː,,,41,,,,g r oː b ( oː )
German-121_grobo-1,,German,121_grobo,Grube,ɡruːbə,ɡ r uː b ə,,,41,,,,ɡ r uː b ( ə )
Dutch-121_grobo-1,,Dutch,121_grobo,groeve,xruːvə,x r uː v ə,,,41,,,,x r uː v ( ə )
ProtoGermanic-136_knabilaz-1,,ProtoGermanic,136_knabilaz,*knabilaz,knabilaz,k n a b i l a z,,,42,,,,k n a b i l ( a z )
German-136_knabilaz-1,,German,136_knabilaz,Knebel,kneːbəl,k n eː b ə l,,,42,,,,k n eː b ə l ( - - )
Dutch-136_knabilaz-1,,Dutch,136_knabilaz,knevel,kneːvəl,k n eː v ə l,,,42,,,,k n eː v ə l ( - - )
ProtoGermanic-464_xattuz-1,,ProtoGermanic,464_xattuz,*xattuz,xattuz,x oː d a z,,,43,,,,x oː d ( a z )
German-464_xattuz-1,,German,464_xattuz,Hut,huːt,h uː t,,,43,,,,h uː t ( - - )
English-464_xattuz-1,,English,464_xattuz,hood,hʊd,h ʊ d,,,43,,,,h ʊ d ( - - )
ProtoGermanic-31_brunnon-1,,ProtoGermanic,31_brunnon,*brunnōn,brunnoːn,b r u nː oː n,,,44,,,,b r u nː ( oː n )
